Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
8/17/2017,4261.48,4485.39,4200.74,4285.08,795.150377,00:00.0,3454770.051,3427,616.248541,2678216.401,0
8/18/2017,4285.08,4371.52,3938.77,4108.37,1199.888264,00:00.0,5086958.306,5233,972.86871,4129123.317,0
8/19/2017,4108.37,4184.69,3850,4139.98,381.309763,00:00.0,1549483.735,2153,274.336042,1118001.87,0
8/20/2017,4120.98,4211.08,4032.62,4086.29,467.083022,00:00.0,1930364.39,2321,376.795947,1557401.334,0
8/21/2017,4069.13,4119.62,3911.79,4016,691.74306,00:00.0,2797231.714,3972,557.356107,2255662.553,0
8/22/2017,4016,4104.82,3400,4040,966.684858,00:00.0,3752505.772,6494,423.995181,1637188.369,0
8/23/2017,4040,4265.8,4013.89,4114.01,1001.136565,00:00.0,4148686.466,8629,309.419092,1293567.095,0
8/24/2017,4147,4371.68,4085.01,4316.01,787.418753,00:00.0,3296476.413,6247,206.820412,868379.0641,0
8/25/2017,4316.01,4453.91,4247.48,4280.68,573.61274,00:00.0,2484637.349,6554,100.097974,434577.1357,0
8/26/2017,4280.71,4367,4212.41,4337.44,228.108068,00:00.0,977865.7333,2260,56.190141,241363.8005,0
8/27/2017,4332.51,4400,4285.54,4310.01,350.692585,00:00.0,1521580.062,3670,101.651358,442442.1794,0
8/28/2017,4310.01,4399.82,4124.54,4386.69,603.841616,00:00.0,2591660.526,4349,142.787782,612364.2061,0
8/29/2017,4353.65,4625.85,4313.55,4587.48,603.545028,00:00.0,2682483.736,4159,143.442567,641982.0207,0
8/30/2017,4564.52,4647.51,4416.01,4555.14,808.468771,00:00.0,3683714.687,5551,196.062252,894620.2375,0
8/31/2017,4555.14,4745.42,4555.14,4724.89,556.956802,00:00.0,2579878.724,4161,131.947325,614342.5339,0
9/1/2017,4689.89,4885.55,4654.88,4834.91,560.666366,00:00.0,2665165.559,4000,118.660103,566254.4309,0
9/2/2017,4796.16,4939.19,4286.87,4472.14,929.148595,00:00.0,4257723.945,7475,379.199863,1738334.085,0
9/3/2017,4508.5,4714.76,4298.33,4509.08,691.216198,00:00.0,3121052.752,6022,258.934536,1169644.692,0
9/4/2017,4505,4527.49,3972.51,4100.11,1394.644614,00:00.0,5909947.49,9317,578.600851,2460362.613,0
9/5/2017,4106.97,4484.99,3603,4366.47,1228.938157,00:00.0,5083453.187,10084,533.476065,2214297.84,0
9/6/2017,4366.49,4662.87,4335.26,4619.77,807.363726,00:00.0,3626346.055,7956,422.923063,1903231.741,0
9/7/2017,4619.77,4788.59,4438.19,4691.61,500.429975,00:00.0,2305795.136,3070,240.683949,1111299.244,0
9/8/2017,4691.66,4735.39,4028.93,4282.8,1132.255046,00:00.0,4866527.226,4733,465.962119,2004277.289,0
9/9/2017,4282.8,4426.62,4150.06,4258.81,658.782952,00:00.0,2815383.466,3777,287.989805,1233627.008,0
9/10/2017,4258.81,4283,3801,4130.37,660.373275,00:00.0,2700371.808,3435,291.786887,1193884.037,0
9/11/2017,4153.62,4334.43,4098.91,4208.47,699.989065,00:00.0,2956842.763,4228,322.19833,1361869.713,0
9/12/2017,4208.6,4394.59,4040.8,4163.72,879.630319,00:00.0,3725190.623,6501,451.78067,1911015.266,0
9/13/2017,4159.72,4165.38,3760,3944.69,913.462545,00:00.0,3570365.926,5019,363.053413,1425986.441,0
9/14/2017,3944,3993,3165.13,3189.02,1665.021543,00:00.0,5914261.405,9066,761.153976,2711572.436,0
9/15/2017,3188.01,3856,2817,3700,1968.866492,00:00.0,6588767.187,10445,966.122245,3236325.668,0
9/16/2017,3674.01,3950,3470.66,3714.95,1297.563953,00:00.0,4804878.247,8809,624.887842,2314536.033,0
9/17/2017,3685.23,3748.21,3499.02,3699.99,682.17121,00:00.0,2466490.279,6355,273.931976,994843.6305,0
9/18/2017,3690,4123.2,3690,4035.01,1030.006455,00:00.0,4069033.057,8220,417.638722,1651863.371,0
9/19/2017,4060,4089.97,3830.91,3910.04,902.332129,00:00.0,3558315.197,7342,257.320352,1016803.882,0
9/20/2017,3910.04,4046.08,3820,3900,720.935076,00:00.0,2839584.453,7231,395.275138,1562210.15,0
9/21/2017,3889.99,3910,3567,3609.99,1001.654084,00:00.0,3757043.078,8714,517.258926,1946238.639,0
9/22/2017,3592.84,3750,3505.55,3595.87,838.966425,00:00.0,3031771.433,8152,511.059869,1848104.613,0
9/23/2017,3595.88,3817.19,3542.91,3780,752.792791,00:00.0,2799707,8402,431.94671,1608679.143,0
9/24/2017,3779.54,3789.99,3622.76,3660.02,661.63639,00:00.0,2445788.436,8724,290.93917,1077964.326,0
9/25/2017,3660.02,3979.87,3653.69,3920.75,727.994713,00:00.0,2784170.853,9740,298.839159,1144089.18,0
9/26/2017,3928,3976.99,3850.05,3882.35,526.727987,00:00.0,2061195.579,7971,225.570283,883925.0186,0
9/27/2017,3882.36,4249.94,3872.81,4193,628.170966,00:00.0,2554629.814,8373,348.083641,1418522.031,0
9/28/2017,4192.11,4300,4101,4174.5,849.785325,00:00.0,3553178.87,11426,364.517452,1525467.358,0
9/29/2017,4178.98,4263.86,3952.01,4174.69,1602.309565,00:00.0,6571746.359,14834,660.408235,2706153.816,0
9/30/2017,4175,4380,4138.1,4378.51,720.353183,00:00.0,3088354.401,9324,292.966693,1258540.223,0
10/1/2017,4378.49,4406.52,4240.04,4378.48,726.963685,00:00.0,3137143.892,9816,291.975904,1263465.867,0
10/2/2017,4400,4561.63,4360,4380,655.756974,00:00.0,2905282.776,8185,289.541406,1286786.891,0
10/3/2017,4380,4467.33,4180.8,4310,1082.323563,00:00.0,4627422.743,12379,492.735181,2107462.11,0
10/4/2017,4314.9,4373,4142,4208.59,868.465101,00:00.0,3676415.101,11006,292.928777,1237552.369,0
10/5/2017,4208.59,4355,4110,4292.43,779.138638,00:00.0,3295532.824,9158,351.042019,1483036.834,0
10/6/2017,4318.99,4417,4292,4369,506.529176,00:00.0,2212035.124,6546,226.148177,988106.6026,0
10/7/2017,4369,4479.5,4312.56,4423,297.5975,00:00.0,1302533.215,4804,145.313076,637146.8581,0
10/8/2017,4425,4658,4425,4640,518.462004,00:00.0,2347356.469,7580,280.094854,1268660.83,0
10/9/2017,4640,4889.98,4550,4786.95,646.463145,00:00.0,3040508.904,10372,350.756559,1654274.637,0
10/10/2017,4786.95,4960,4680.59,4783.06,1043.221773,00:00.0,5044283.863,11967,678.832674,3289613.761,0
