Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
8/17/2017,301.13,312.18,298,302,7030.71034,00:00.0,2154655.3,4522,6224.58999,1908705.369,0
8/18/2017,302,311.79,283.94,293.96,9537.84646,00:00.0,2858946.509,5658,7452.43542,2240813.261,0
8/19/2017,293.31,299.9,278,290.91,2146.19773,00:00.0,620022.5899,1795,1537.9755,444713.6122,0
8/20/2017,289.41,300.53,282.85,299.1,2510.13871,00:00.0,742847.8946,2038,2186.68739,647506.062,0
8/21/2017,299.1,346.52,294.6,323.29,5219.44542,00:00.0,1689472.341,3925,4004.19967,1297977.423,0
8/22/2017,321.04,330.41,144.21,309.8,7956.35088,00:00.0,2454425.803,6577,4433.78132,1364472.488,0
8/23/2017,312.25,324.99,309.41,315.74,8665.72569,00:00.0,2753464.945,8540,2282.23633,728206.9176,0
8/24/2017,315.74,328.04,314.01,323.42,6753.27192,00:00.0,2159417.114,6495,1901.90029,610929.1472,0
8/25/2017,323.42,338.28,323.42,327.24,7125.96962,00:00.0,2354162.038,7452,2595.82561,859314.6835,0
8/26/2017,327.24,335.44,323.41,330.79,4877.68521,00:00.0,1601994.377,4400,941.99655,311132.2631,0
8/27/2017,332.18,348.13,330.73,348.13,4635.43715,00:00.0,1554477.358,4973,1166.20029,392130.1152,0
8/28/2017,348.11,351,331.95,346,4279.1817,00:00.0,1463758.169,4526,1114.26279,383473.9889,0
8/29/2017,347,377.6,346,374.7,3032.13425,00:00.0,1102069.621,3265,923.16784,334768.8105,0
8/30/2017,374.7,393.71,362.05,385.93,4446.59608,00:00.0,1679526.213,4812,1285.37799,487837.7448,0
8/31/2017,384.64,389.36,377.78,384.79,4435.86855,00:00.0,1704441.394,4574,1432.19381,550808.6109,0
9/1/2017,386.44,394.39,383.18,388.46,4198.68434,00:00.0,1635227.614,4124,1564.05531,609630.9498,0
9/2/2017,388.58,394.32,320.08,343.14,8240.32724,00:00.0,2904008.461,8217,2460.66776,868487.2834,0
9/3/2017,343.56,367.28,320.08,341.77,5253.62211,00:00.0,1801702.618,6153,2240.91753,767938.2522,0
9/4/2017,339.29,344.55,267.94,283.77,6737.81061,00:00.0,2002446.182,7403,2954.16805,877011.1067,0
9/5/2017,286.81,321.52,235.55,312.09,8344.41924,00:00.0,2397490.918,8999,4312.97282,1251958.991,0
9/6/2017,313.29,336.34,312.09,335,5486.30988,00:00.0,1793962.858,7089,2183.65363,713126.1017,0
9/7/2017,335.01,342.5,320.17,334.49,3103.89745,00:00.0,1027135.687,2635,1321.09841,438034.1733,0
9/8/2017,334.49,335.1,272,302.99,4915.75693,00:00.0,1494309.887,3227,2306.94838,698362.8494,0
9/9/2017,300.01,307,281.66,296.74,2740.58822,00:00.0,813750.3589,1956,1755.91508,520754.9146,0
9/10/2017,296.72,302.78,261.03,293.5,4156.45099,00:00.0,1181903.772,2494,2282.40311,651266.458,0
9/11/2017,293.51,304.98,285.21,297.3,4829.64647,00:00.0,1436811.816,3490,2412.24221,718382.7522,0
9/12/2017,297.78,316.46,286.01,293.96,5176.31402,00:00.0,1573452.412,5279,2207.60465,671349.2543,0
9/13/2017,293.93,294.5,257.05,276.91,6451.22836,00:00.0,1761080.898,4527,3264.55673,890399.3696,0
9/14/2017,275.76,283.77,215,215.21,12601.95676,00:00.0,3110767.781,8166,4455.23882,1100931.145,0
9/15/2017,217,270.93,192,253,14223.8953,00:00.0,3319311.827,9198,5945.8076,1386660.037,0
9/16/2017,255.99,271.81,235.51,249.31,10362.06011,00:00.0,2647152.372,8859,3866.60141,995005.3267,0
9/17/2017,249.32,264.39,239.02,257.55,4614.53337,00:00.0,1149704.295,5277,1442.00382,360268.4739,0
9/18/2017,257.53,306.22,257.11,294.57,4125.97051,00:00.0,1182937.634,3440,2342.68408,669740.5215,0
9/19/2017,296,300,277.41,284,1869.90852,00:00.0,535773.5652,1896,789.82937,226839.7065,0
9/20/2017,284.01,294,275.91,282,1060.56734,00:00.0,302739.7338,1431,566.64637,162290.4186,0
9/21/2017,285.1,287,252.1,257,1912.55583,00:00.0,516193.1971,2751,579.77742,156157.9955,0
9/22/2017,258,272.97,253.01,264,1464.5125,00:00.0,382962.2179,2144,612.61937,160401.2878,0
9/23/2017,259.99,286.23,255.11,285.93,2824.33572,00:00.0,788810.3244,3901,841.43467,233418.2569,0
9/24/2017,286.5,294.61,275,282,5575.54422,00:00.0,1582877.487,8022,1314.52754,373569.5568,0
9/25/2017,282,299,281.34,294.42,5870.48035,00:00.0,1705551.992,9165,1950.58866,567363.4491,0
9/26/2017,294.42,296.81,286.24,287.9,4566.92804,00:00.0,1332125.165,7329,1073.93969,313528.6413,0
9/27/2017,289.91,313,286.13,309.74,5518.10382,00:00.0,1641896.874,8208,1276.45702,380606.4658,0
9/28/2017,309.81,311.81,296.89,302.44,6600.90922,00:00.0,2009233.889,10534,2210.54916,674345.9209,0
